treatment,control,seed,delta_selection_J,delta_clean_accuracy,delta_clean_macro_f1,delta_clean_neutral_f1,delta_clean_mae,delta_clean_pearson,delta_masked_accuracy,delta_masked_macro_f1,delta_masked_mae,delta_masked_pearson
A_TA,A_T,20260923,0.007496711642780207,-0.016483516483516425,-0.01143198234907361,0.004266446462978246,0.0025458931922912598,-0.010826605873981543,-0.010836385836385687,-0.003950600309435948,0.005854432229642548,-0.013948814251953712
A_TA,A_T,20260924,0.010220650635081485,-0.008241758241758212,-0.006502016453754589,0.0036446020488573594,-0.0025414228439331055,-0.002319985573668415,-0.011243386243386388,-0.011879590199675993,-0.0004110435644785193,-0.002585536976383973
A_TA,A_T,20260925,0.002389019086506572,0.0027472527472527375,0.003683689872854834,0.005794691714955724,0.011140763759613037,-0.009597304781017058,-0.0017806267806267373,0.0006417828751353882,0.011451526924415867,-0.00873165854273461
A_TV,A_T,20260923,-0.008195968952041555,0.0013736263736263687,0.0035999413320614293,0.01409135082604468,-0.011589765548706055,0.004681989581750812,0.0008140008140009591,0.0051930393376153905,-0.009741561280356525,0.0030504017345327483
A_TV,A_T,20260924,0.010275273282411956,0.019230769230769162,0.003316987230089441,-0.025816677412422107,0.02574259042739868,-0.01629500486070956,0.01248982498982476,-0.0055118362620422134,0.019301708097811177,-0.0151346354681825
A_TV,A_T,20260925,-0.011876391601462144,0.008241758241758212,0.010912215797343805,0.01726552690041533,0.0013819336891174316,-0.001899541482144218,0.006791819291819379,0.012015933076327534,-0.0010061959425609057,0.0007213448228821084
A_TAV,A_T,20260923,0.00326481655288402,-0.015109890109890056,-0.011737339563257398,0.0008768379873195786,-0.010931551456451416,0.0028674257268977987,-0.011523199023198871,-0.003816839148002571,-0.006484740310245041,0.0005298728326826874
A_TAV,A_T,20260924,0.013091564152306834,-0.0027472527472527375,-0.0032265609600223844,0.0059045634320414875,0.01475071907043457,-0.021634618200058076,-0.009081196581196549,-0.01080402421229154,0.01181071665551936,-0.023341947052828105
A_TAV,A_T,20260925,0.004787196336288879,0.0027472527472527375,-0.0015209658633141832,-0.01391498654207507,0.012835025787353516,-0.013749535845643979,-0.0001017501017501754,-0.001368252838473305,0.009244719037303173,-0.009954380939592555
B_mask,B_old,20260923,-0.0012591183981112142,0.004120879120879106,0.0035881802474158064,0.0023081636416635853,-0.00015246868133544922,8.804368939019369e-05,0.00040700040700047957,0.00045539929365279175,-3.127257029211794e-05,-5.365501187537536e-05
B_mask,B_old,20260924,0.0003143389881357095,0.0,0.0,0.0,0.00019127130508422852,-0.00032440209033546274,-7.6312576312354e-05,-0.0003527227558668411,0.00013543058324738677,-0.0003258199875773027
B_mask,B_old,20260925,-0.00080676227278631,0.0,0.0008692885610487311,0.002994908655286066,0.0004094839096069336,-2.988402785031319e-05,0.0006868131868131844,0.0010090004938780872,0.0005327463150024414,-6.174890378085607e-05
