candidate,missing_group,scenario_seed_rows,mean_accuracy,mean_macro_f1,mean_mae,mean_pearson
B_early,A,27,0.6316137566137566,0.6086234682392062,0.610708439791644,0.6454879733310893
B_early,AV,27,0.6304945054945055,0.6095602509050877,0.6080281734466553,0.6408991049900005
B_early,T,27,0.5743284493284493,0.5460054411265745,0.6577897999021742,0.5522919959755617
B_early,TA,27,0.5728530728530729,0.5500291347695663,0.6632291520083392,0.548041884806114
B_early,TV,27,0.5654253154253154,0.5378754351579917,0.6604320362762168,0.5376668357802993
B_early,V,27,0.6266280016280016,0.6029555200067706,0.6048289294596072,0.643467842691227
B_early,text_available,81,0.6295787545787546,0.6070464130503548,0.6078551808993021,0.6432849736707723
B_early,text_missing,81,0.5708689458689459,0.5446366703513775,0.6604836627289101,0.5460002388539916
C_concat,A,27,0.6362942612942613,0.6054835597668662,0.6336915073571382,0.6313846684617681
C_concat,AV,27,0.6348697598697599,0.6042828368843878,0.634332122626128,0.6306350270426619
C_concat,T,27,0.5829263329263329,0.5542138639726025,0.6583958952515213,0.548405534998435
C_concat,TA,27,0.5810439560439561,0.5525381739704992,0.6611079441176521,0.5466870565551356
C_concat,TV,27,0.5838420838420838,0.5561240041160017,0.6599119923732899,0.5468394490746551
C_concat,V,27,0.6338522588522588,0.6030641976279371,0.6334753809151826,0.631433040861372
C_concat,text_available,81,0.6350054266720934,0.6042768647597303,0.6338330036328162,0.631150912121934
C_concat,text_missing,81,0.5826041242707909,0.5542920140197011,0.6598052772474877,0.5473106802094085
C_concat_lr,A,27,0.634004884004884,0.6148673554295727,0.6149715957818208,0.628884392847649
C_concat_lr,AV,27,0.6331908831908832,0.6142114089500563,0.6151134239302741,0.6284648066932815
C_concat_lr,T,27,0.5867928367928368,0.5649671812478314,0.6548231332390396,0.550221587445079
C_concat_lr,TA,27,0.5836385836385837,0.5614448704555851,0.6575143800841438,0.5471378662884806
C_concat_lr,TV,27,0.5842999592999593,0.5620077772447808,0.6547355166187993,0.5492720248001258
C_concat_lr,V,27,0.6352767602767603,0.6157313322216538,0.6130030177257679,0.6305372252144414
C_concat_lr,text_available,81,0.6341575091575091,0.6149366988670942,0.6143626791459543,0.6292954749184573
C_concat_lr,text_missing,81,0.5849104599104599,0.5628066096493991,0.6556910099806609,0.5488771595112285
TAV_MLP,A,27,0.6212861212861213,0.6028435238177786,0.6000646198237384,0.6234159608186074
TAV_MLP,AV,27,0.6213878713878714,0.6026929155197371,0.6000046067767673,0.6233192020908513
TAV_MLP,T,27,0.5763125763125763,0.5573794250649002,0.644415314550753,0.5470184455337442
TAV_MLP,TA,27,0.5744810744810744,0.5550544487024698,0.6457662339563723,0.5452605916121468
TAV_MLP,TV,27,0.5744810744810744,0.5541089097913469,0.644248730606503,0.5467566059987338
TAV_MLP,V,27,0.6215913715913716,0.6030799755883098,0.5990602396152638,0.6242750791455909
TAV_MLP,text_available,81,0.6214217880884547,0.6028721383086085,0.5997098220719231,0.6236700806850165
TAV_MLP,text_missing,81,0.575091575091575,0.5555142611862389,0.6448100930378761,0.5463452143815416
TV_clean,A,27,0.6382783882783883,0.614014973255231,0.6064075430234274,0.6379812238479767
TV_clean,AV,27,0.6375661375661376,0.6131094780666358,0.6063508788744608,0.6379777214379898
TV_clean,T,27,0.5757020757020757,0.5575495505548209,0.6392493755729111,0.5625393578618499
TV_clean,TA,27,0.5757020757020757,0.5575495505548209,0.6392493755729111,0.5625393578618499
TV_clean,TV,27,0.5765160765160765,0.5575476175770089,0.6390555545135781,0.5619849298743679
TV_clean,V,27,0.6375661375661376,0.6131094780666358,0.6063508788744608,0.6379777214379898
TV_clean,text_available,81,0.6378035544702212,0.6134113097961675,0.6063697669241164,0.6379788889079855
TV_clean,text_missing,81,0.5759734093067427,0.5575489062288835,0.6391847685531333,0.5623545485326892
TV_effective,A,27,0.6254578754578755,0.6101357640226995,0.6025892694791158,0.6303696726506574
TV_effective,AV,27,0.6232702482702482,0.6078061601528241,0.6027746046030963,0.6295839942475678
TV_effective,T,27,0.5820614570614571,0.5607377999323637,0.6436127843680205,0.5581386584282967
TV_effective,TA,27,0.5820614570614571,0.5607377999323637,0.6436127843680205,0.5581386584282967
TV_effective,TV,27,0.582010582010582,0.5599703312993818,0.6427103568006445,0.557227276167407
TV_effective,V,27,0.6232702482702482,0.6078061601528241,0.6027746046030963,0.6295839942475678
TV_effective,text_available,81,0.6239994573327907,0.6085826947761159,0.6027128262284361,0.6298458870485977
TV_effective,text_missing,81,0.5820444987111654,0.560481977054703,0.6433119751788952,0.5578348643413334
TV_old,A,27,0.6373626373626373,0.6158443691725431,0.59886101881663,0.6307059404127632
TV_old,AV,27,0.6385327635327636,0.6163455775545769,0.6001863347159492,0.6298372548539433
TV_old,T,27,0.5856735856735856,0.5612120573819371,0.6407598676504912,0.5543126935732148
TV_old,TA,27,0.5856735856735856,0.5612120573819371,0.6407598676504912,0.5543126935732148
TV_old,TV,27,0.5853683353683353,0.5595720641403082,0.6407728327645196,0.5538471804305355
TV_old,V,27,0.6385327635327636,0.6163455775545769,0.6001863347159492,0.6298372548539433
TV_old,text_available,81,0.6381427214760548,0.616178508093899,0.5997445627495095,0.6301268167068832
TV_old,text_missing,81,0.5855718355718356,0.5606653929680608,0.6407641893551673,0.5541575225256551
