candidate,seed,best_epoch,parameter_count,selection_J,clean_neutral_f1,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson
A_T,20260923,4,130180,0.6131302507910067,0.4523809523809524,0.6387362637362637,0.6113105848399966,0.5943793654441833,0.6369360320329195,0.6138583638583638,0.5838760335001713,0.6173332333564758,0.5988800162986581
A_T,20260924,5,130180,0.6101210015468103,0.491725768321513,0.6208791208791209,0.6130109457551783,0.597262978553772,0.6358097183428327,0.5972985347985349,0.5884561080119604,0.6197756164603763,0.595428183676203
A_T,20260925,3,130180,0.615619206102574,0.47783251231527096,0.6236263736263736,0.6053824325629599,0.5894059538841248,0.6328846271400129,0.6043192918192918,0.5812365739289072,0.6151003274652693,0.5934811977847142
A_TA,20260923,3,130180,0.6206269624337869,0.45664739884393063,0.6222527472527473,0.599878602490923,0.5969252586364746,0.6261094261589379,0.6030219780219781,0.5799254331907353,0.6231876655861184,0.5849312020467043
A_TA,20260924,5,130180,0.6203416521818917,0.49537037037037035,0.6126373626373627,0.6065089293014237,0.5947215557098389,0.6334897327691643,0.5860551485551485,0.5765765178122844,0.6193645728958977,0.592842646699819
A_TA,20260925,3,130180,0.6180082251890806,0.4836272040302267,0.6263736263736264,0.6090661224358147,0.6005467176437378,0.6232873223589959,0.602538665038665,0.5818783568040425,0.6265518543896852,0.5847495392419796
A_TV,20260923,3,130180,0.6049342818389651,0.46647230320699706,0.6401098901098901,0.614910526172058,0.5827895998954773,0.6416180216146703,0.6146723646723647,0.5890690728377866,0.6075916720761193,0.6019304180331908
A_TV,20260924,10,130180,0.6203962748292222,0.4659090909090909,0.6401098901098901,0.6163279329852678,0.6230055689811707,0.6195147134821232,0.6097883597883597,0.5829442717499181,0.6390773245581874,0.5802935482080205
A_TV,20260925,3,130180,0.6037428145011119,0.4950980392156863,0.6318681318681318,0.6162946483603037,0.5907878875732422,0.6309850856578687,0.6111111111111112,0.5932525070052347,0.6140941315227084,0.5942025426075963
A_TAV,20260923,3,130180,0.6163950673438907,0.45325779036827196,0.6236263736263736,0.5995732452767392,0.5834478139877319,0.6398034577598173,0.6023351648351649,0.5800591943521687,0.6108484930462308,0.5994098891313407
A_TAV,20260924,5,130180,0.6232125656991171,0.4976303317535545,0.6181318681318682,0.609784384795156,0.6120136976242065,0.6141751001427747,0.5882173382173383,0.5776520837996688,0.6315863331158956,0.5720862366233749
A_TAV,20260925,3,130180,0.6204064024388629,0.4639175257731959,0.6263736263736264,0.6038614666996457,0.6022409796714783,0.6191350912943689,0.6042175417175416,0.5798683210904338,0.6243450465025725,0.5835268168451216
B_old,20260923,3,385925,0.6236491770054755,0.4720194647201946,0.6222527472527473,0.6090573506903082,0.6152309775352478,0.6361828376146893,0.5977564102564104,0.5819062462766459,0.6442958050303988,0.5824375956039731
B_old,20260924,5,385925,0.6292479463642748,0.4115755627009646,0.6346153846153846,0.5927789894770356,0.5975871086120605,0.656189965439036,0.6063542938542937,0.5706777487698537,0.622608318373009,0.6069936002848804
B_old,20260925,8,385925,0.6276638818361675,0.4444444444444444,0.6277472527472527,0.6059242212957241,0.6092981100082397,0.6484919440109065,0.5955433455433455,0.5738289530244352,0.6349672377109528,0.5949378468015261
B_mask,20260923,3,385925,0.6223900586073643,0.4743276283618582,0.6263736263736264,0.612645530937724,0.6150785088539124,0.6362708813040795,0.5981634106634108,0.5823616455702987,0.6442645324601067,0.5823839405920977
B_mask,20260924,5,385925,0.6295622853524105,0.4115755627009646,0.6346153846153846,0.5927789894770356,0.5977783799171448,0.6558655633487005,0.6062779812779814,0.5703250260139868,0.6227437489562564,0.6066677802973031
B_mask,20260925,8,385925,0.6268571195633812,0.4474393530997305,0.6277472527472527,0.6067935098567728,0.6097075939178467,0.6484620599830562,0.5962301587301587,0.5748379535183132,0.6354999840259552,0.5948760978977452
A_gate,20260923,4,129798,0.6387998343833432,0.4251497005988024,0.625,0.5919640411071563,0.6276409029960632,0.6382271147763326,0.6059981684981686,0.5698792103999688,0.6475873755084144,0.597338769857326
